schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,scheduled_entry_target,entry_atr
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.08 18:05:00,2025_S3,ENTRY_ATTEMPT,2025.04.08 17:00:00,0,BUY,1.0909400000,0.0000000000,12,0.0000,0.04000000,24.88000000,1.0847200000,2,2,10009,NONE,NO,2025.04.08 18:05:00,0.003108639147
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.08 22:05:00,2025_S3,EXIT_ATTEMPT,2025.04.08 21:00:00,2,BUY,1.0960000000,0.0000000000,0,0.0000,0.04000000,0,0,3,3,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.08 22:05:00,2025_S3,EXIT_TRANSACTION,NONE,2,BUY,1.0960000000,1.0960000000,0,0.0000,0.04000000,0,0,3,3,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.09 18:05:00,2025_S3,ENTRY_ATTEMPT,2025.04.09 17:00:00,0,BUY,1.1043200000,0.0000000000,12,0.0000,0.03000000,22.23000000,1.0969100000,4,4,10009,NONE,NO,2025.04.09 18:05:00,0.003702127389
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.09 20:24:52,2025_S3,EXIT_TRANSACTION,NONE,4,BUY,0.0000000000,1.0968300000,0,0.0000,0.03000000,0,0,5,5,0,STOP_LOSS_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.10 18:05:00,2025_S3,ENTRY_ATTEMPT,2025.04.10 17:00:00,0,BUY,1.1168400000,0.0000000000,12,0.0000,0.03000000,21.75000000,1.1095900000,6,6,10009,NONE,NO,2025.04.10 18:05:00,0.003622620632
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.10 22:05:00,2025_S3,EXIT_ATTEMPT,2025.04.10 21:00:00,6,BUY,1.1206200000,0.0000000000,0,0.0000,0.03000000,0,0,7,7,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.10 22:05:00,2025_S3,EXIT_TRANSACTION,NONE,6,BUY,1.1206200000,1.1206200000,0,0.0000,0.03000000,0,0,7,7,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.11 18:05:00,2025_S3,ENTRY_ATTEMPT,2025.04.11 17:00:00,0,BUY,1.1335700000,0.0000000000,12,0.0000,0.02000000,22.84000000,1.1221500000,8,8,10009,NONE,NO,2025.04.11 18:05:00,0.005707267232
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.11 22:05:00,2025_S3,EXIT_ATTEMPT,2025.04.11 21:00:00,8,BUY,1.1317600000,0.0000000000,0,0.0000,0.02000000,0,0,9,9,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.11 22:05:00,2025_S3,EXIT_TRANSACTION,NONE,8,BUY,1.1317600000,1.1317600000,0,0.0000,0.02000000,0,0,9,9,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.14 18:05:00,2025_S3,ENTRY_ATTEMPT,2025.04.14 17:00:00,0,BUY,1.1376000000,0.0000000000,12,0.0000,0.03000000,24.00000000,1.1296000000,10,10,10009,NONE,NO,2025.04.14 18:05:00,0.003995655926
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.14 22:05:00,2025_S3,EXIT_ATTEMPT,2025.04.14 21:00:00,10,BUY,1.1351200000,0.0000000000,0,0.0000,0.03000000,0,0,11,11,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.14 22:05:00,2025_S3,EXIT_TRANSACTION,NONE,10,BUY,1.1351200000,1.1351200000,0,0.0000,0.03000000,0,0,11,11,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.15 18:05:00,2025_S3,ENTRY_ATTEMPT,2025.04.15 17:00:00,0,BUY,1.1324000000,0.0000000000,12,0.0000,0.04000000,23.00000000,1.1266500000,12,12,10009,NONE,NO,2025.04.15 18:05:00,0.002870024734
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.15 19:40:10,2025_S3,EXIT_TRANSACTION,NONE,12,BUY,0.0000000000,1.1266400000,0,0.0000,0.04000000,0,0,13,13,0,STOP_LOSS_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.16 18:05:00,2025_S3,ENTRY_ATTEMPT,2025.04.16 17:00:00,0,BUY,1.1382700000,0.0000000000,13,0.0000,0.05000000,24.85000000,1.1333000000,14,14,10009,NONE,NO,2025.04.16 18:05:00,0.002482758185
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.04.16 22:05:00,2025_S3,EXIT_ATTEMPT,2025.04.16 21:00:00,14,BUY,1.1391900000,0.0000000000,0,0.0000,0.05000000,0,0,15,15,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
